Brand,Battery_capacity(mAh),Screen_size(inches),Touchscreen,Processor,RAM(GB),Internal_storage(GB),Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
m-tech,2400,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,3950,480,854,5,2
zen,2000,5,Yes,4,0,8,android,Yes,Yes,Yes,2,Yes,No,2799,480,854,5,1
micromax,1750,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,3799,480,854,8,2
lg,1540,3,Yes,1,0,4,android,Yes,Yes,Yes,2,Yes,No,1999,240,320,3,0
reach,2500,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,No,2690,720,1280,5,2
lava,2000,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,4540,480,854,5,5
micromax,3950,6,Yes,8,2,16,android,Yes,Yes,Yes,2,Yes,Yes,6694,720,1560,13,5
motorola,4000,6,Yes,4,2,16,android,Yes,Yes,No,2,Yes,Yes,7950,720,1440,13,5
huawei,4000,7,Yes,8,4,128,android,Yes,Yes,No,2,Yes,Yes,14450,1080,2340,16,16
htc,3930,6,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,19999,1080,2160,12,5
smartron,3000,6,Yes,8,4,32,android,Yes,Yes,Yes,2,Yes,Yes,5999,1080,1920,13,5
lava,2500,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,13300,720,1280,13,8
panasonic,3000,5,Yes,4,2,16,android,Yes,Yes,Yes,2,No,Yes,5699,720,1280,8,5
vivo,3260,6,Yes,8,4,32,android,Yes,Yes,Yes,2,Yes,Yes,10399,720,1520,13,8
lyf,2600,5,Yes,8,3,16,android,Yes,Yes,Yes,2,Yes,Yes,7900,720,1280,13,5
micromax,1300,4,Yes,4,0,4,android,Yes,Yes,Yes,2,No,Yes,2359,480,800,2,0
apple,1821,5,Yes,6,2,64,ios,Yes,Yes,Yes,1,Yes,Yes,36999,750,1334,12,7
huawei,4000,6,Yes,8,4,64,android,Yes,Yes,Yes,2,No,Yes,49990,1080,2240,40,24
vivo,5000,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,8990,720,1544,13,8
comio,3050,5,Yes,4,2,32,android,Yes,Yes,Yes,2,Yes,Yes,5399,720,1280,13,8
intex,2000,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,4777,480,854,5,2
google,3520,6,Yes,8,4,64,android,Yes,Yes,Yes,1,Yes,Yes,12994,1440,2880,12,8
gionee,3030,6,Yes,8,4,32,android,Yes,Yes,Yes,2,Yes,Yes,6319,720,1440,13,16
nubia,2800,5,Yes,8,3,64,android,Yes,Yes,Yes,2,Yes,Yes,9999,1080,1920,16,8
karbonn,2250,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,8649,720,1280,8,5
vivo,3000,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,10999,720,1280,13,16
lava,2000,5,Yes,4,1,8,android,Yes,Yes,No,2,Yes,No,3449,480,854,5,2
asus,3000,6,Yes,8,3,16,android,Yes,Yes,Yes,2,Yes,Yes,8999,1080,1920,13,5
google,3000,6,Yes,8,4,64,android,Yes,Yes,Yes,1,Yes,Yes,30999,1080,2220,12,8
nokia,3400,6,Yes,2,1,8,windows,Yes,Yes,Yes,1,Yes,Yes,9960,720,1280,5,0
apple,3110,6,Yes,6,4,64,ios,Yes,Yes,Yes,2,Yes,Yes,62900,828,1792,12,12
honor,3750,7,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,9999,1080,2340,20,16
iball,2150,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,No,3999,480,854,8,0
intex,3000,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,6849,720,1280,8,5
intex,4000,5,Yes,4,2,16,android,Yes,Yes,Yes,1,No,No,5440,720,1280,8,8
lyf,1750,4,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,2499,480,800,5,2
intex,2000,5,Yes,4,1,8,android,Yes,Yes,Yes,2,No,Yes,3690,480,854,5,2
intex,1500,4,Yes,4,0,4,android,Yes,Yes,Yes,2,Yes,Yes,4095,360,640,2,0
sony,2900,5,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,45999,1080,1920,23,5
xolo,2500,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,6888,720,1280,8,5
micromax,4000,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,6299,720,1500,13,16
samsung,1200,3,Yes,1,0,3,android,Yes,Yes,Yes,1,Yes,No,3190,240,320,2,0
honor,3340,6,Yes,8,4,32,android,Yes,Yes,Yes,2,Yes,Yes,12722,1080,2160,16,8
samsung,1350,3,Yes,1,0,0,android,Yes,Yes,Yes,2,Yes,No,5555,240,320,3,0
nokia,1650,4,Yes,2,1,8,windows,Yes,Yes,Yes,1,Yes,No,19660,480,800,8,0
lg,4100,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,6999,720,1280,13,5
lg,3000,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,8948,1080,2160,13,5
yu,4000,5,Yes,4,2,16,android,Yes,Yes,Yes,2,No,Yes,3999,720,1440,13,5
swipe,2500,5,Yes,4,3,32,android,Yes,Yes,Yes,2,Yes,Yes,4400,720,1280,13,8
oneplus,3800,7,Yes,8,8,128,android,Yes,Yes,No,2,Yes,Yes,34930,1080,2400,48,16
samsung,5000,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,9499,1080,2340,13,16
lg,3200,6,Yes,4,3,16,android,Yes,Yes,Yes,1,Yes,Yes,42021,1080,1920,13,2
intex,2400,5,Yes,4,1,8,android,Yes,Yes,Yes,1,Yes,Yes,3890,240,854,5,5
lyf,2850,6,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,4995,720,1280,8,2
samsung,2600,5,Yes,8,1,16,android,Yes,Yes,Yes,2,Yes,Yes,5290,540,960,5,5
yu,3000,5,Yes,4,3,16,android,Yes,Yes,Yes,2,Yes,Yes,7000,1080,1920,13,5
oppo,3400,6,Yes,8,6,128,android,Yes,Yes,Yes,2,Yes,Yes,14299,1080,2280,20,20
